id,lat,lon,Name,Count
154,45.51844688,-122.651685,SE 14th at Stark,9704
132,45.5191991,-122.6762108,,1391
134,45.53140997,-122.6574612,NE Multnomah at 9th,10566
136,45.5231391,-122.6723799,,4040
265,45.5314628,-122.685491,,3166
137,45.5290819,-122.6985965,,871
138,45.55458563,-122.6755413,N Mississippi at N Skidmore,6447
168,45.5027677,-122.6714408,Tilikum West at SW Moody,20496
156,45.5379577,-122.6886206,,579
166,45.5300616,-122.6844243,,5329
141,45.5120789,-122.6381592,,179
2062,45.5186777,-122.6657908,,77
151,45.5230046,-122.6801058,,1347
142,45.5193586,-122.6566872,,940
148,45.5236962,-122.6811554,,913
149,45.5256856,-122.6893362,,470
150,45.50624163,-122.6633379,SE 2nd Pl at Tilikum Way,19468
152,45.5308296,-122.6814121,,549
153,45.5175793,-122.6725072,,716
170,45.51936283,-122.6359928,SE 29th at Stark,3532
155,45.5388948,-122.6901714,,1564
159,45.5205931,-122.637238,SE 28th at Pine - Community Corral,2422
160,45.55645437,-122.6603794,NE Going at Grand,6783
161,45.5160179,-122.6842822,,1661
162,45.5555064,-122.6605467,,196
164,45.5136673,-122.6607821,,771
165,45.5287476,-122.6776586,,279
171,45.5229504,-122.6831526,,2990
202,45.5230674,-122.6764857,,1978
169,45.5236794,-122.6821551,,1287
172,45.5644626,-122.6306698,,105
174,45.5229602,-122.6627544,,1448
343,45.519382,-122.6637877,,4282
178,45.5350668,-122.6575995,,633
176,45.5129509,-122.6597725,,2210
196,45.5120427,-122.6182826,,222
179,45.51507401,-122.6870298,SW 12th at Clay,5940
397,45.5193653,-122.6586964,,138
192,45.5120745,-122.6337819,,184
281,45.52771962,-122.6603526,Metro Campus - Community Corral,1997
182,45.5115447,-122.6658674,,420
183,45.53290424,-122.68626,NW Pettygrove at 15th,12914
184,45.5533235,-122.6667569,,267
185,45.5218947,-122.6834357,,1048
186,45.5152281,-122.6870389,,200
187,45.54471503,-122.6667845,N Morris at Williams,5522
188,45.5347847,-122.6988093,,630
190,45.55908767,-122.6407517,NE Alberta at 24th - Community Corral,1117
191,45.5627419,-122.6889932,N Killingsworth at Gay - Community Corral,868
200,45.5128821,-122.6229264,,746
193,45.5197472,-122.6782504,,1684
195,45.5229341,-122.6597069,,1361
197,45.5546279,-122.6755257,,2054
198,45.518278,-122.6813236,,1398
227,45.52990305,-122.6628363,NE Holladay at MLK,7237
201,45.5231051,-122.6744101,,440
292,45.523048,-122.6774256,,1572
203,45.5136276,-122.6838551,,523
204,45.5153522,-122.6846459,,961
205,45.51649676,-122.6307517,SE Belmont at 33rd,7412
206,45.5120752,-122.6361305,,287
221,45.5120656,-122.6295928,,578
207,45.5264714,-122.6863235,,1103
208,45.522783,-122.6811195,,900
209,45.5282986,-122.6823288,,519
210,45.544631,-122.6666666,,162
714,45.5137595,-122.6843666,,963
211,45.520426,-122.6807929,,1150
223,45.5236337,-122.6556444,,132
280,45.53477667,-122.6988717,NW Savier at 23rd - Disabled,2184
215,45.5311463,-122.7026942,,75
212,45.5366204,-122.6862613,,693
327,45.5100161,-122.6846943,,1654
249,45.5129476,-122.6607846,,94
213,45.5164147,-122.6800628,,943
214,45.5264765,-122.6414203,,282
216,45.5314412,-122.6865198,,864
224,45.50280906,-122.6535398,SE Gideon at 12th Ave MAX station,8127
217,45.50936198,-122.6812121,SW 4th at College,11250
1610,45.5268192,-122.6716911,,77
218,45.5268176,-122.6715628,,26
288,45.5245495,-122.6734472,,3874
220,45.5350329,-122.6466728,,950
312,45.5164567,-122.6295726,,867
222,45.5228795,-122.6872236,,323
225,45.5291643,-122.6371683,,289
384,45.5033295,-122.6537669,,90
266,45.5154692,-122.6794042,,2104
233,45.5351676,-122.6350089,,579
226,45.528663,-122.6647366,,27
228,45.5284438,-122.6945131,,536
817,45.5210891,-122.6804375,,667
229,45.52288,-122.6434778,,471
526,45.5236472,-122.6597021,,1438
230,45.5150223,-122.6229225,,93
231,45.5298322,-122.6965946,,810
232,45.56244707,-122.6848358,N Concord at Killingsworth - Community Corral,653
234,45.5121886,-122.645577,,38
235,45.5300622,-122.6616912,,486
486,45.5251698,-122.6785327,,689
237,45.55076344,-122.6668663,N Failing at Williams,6308
238,45.5363783,-122.6897334,,280
330,45.5200155,-122.6821151,,2884
600,45.5196428,-122.6892406,,150
239,45.5350701,-122.6586141,,393
240,45.512023,-122.6836064,,1495
241,45.5474656,-122.6666791,,300
242,45.5229722,-122.6821342,,835
243,45.5315017,-122.6834541,,1553
244,45.5508003,-122.6667366,,317
264,45.51505334,-122.6788947,SW 4th at Jefferson (City Hall),3786
245,45.5244245,-122.6495537,,282
268,45.5201388,-122.6768712,,1777
246,45.507311,-122.681981,,379
247,45.511502,-122.653695,,393
248,45.4964312,-122.6708804,,1448
250,45.55568352,-122.6506644,NE 14th Pl at Prescott - Community Corral,1108
251,45.5164548,-122.6282071,,435
518,45.5172394,-122.6627873,,343
252,45.5121086,-122.645245,,219
467,45.5250657,-122.684239,,2325
429,45.5138682,-122.6791005,,670
253,45.5313884,-122.689548,,433
255,45.5115212,-122.6587287,,230
410,45.5226224,-122.6777869,,2089
256,45.5231707,-122.6623275,,237
257,45.5152098,-122.6783895,,1199
258,45.5250269,-122.6862674,,135
259,45.5315039,-122.6596531,,344
260,45.56282546,-122.6747467,N Killingsworth at Albina,4748
261,45.5220269,-122.6810799,,720
427,45.5186626,-122.6742051,,1236
262,45.5144083,-122.6754329,,672
269,45.519372,-122.6607447,,1354
263,45.5133295,-122.6713328,,137
396,45.5153268,-122.6618265,,474
278,45.5186589,-122.6607493,,1308
291,45.5286856,-122.6813285,,499
293,45.5409301,-122.6641567,,1437
297,45.5200382,-122.6879003,,356
267,45.5229274,-122.657678,,816
313,45.5065126,-122.6537253,,64
289,45.5172057,-122.652644,,578
376,45.527931,-122.6485026,,512
276,45.5286497,-122.6616998,,144
271,45.514397,-122.6658488,,332
272,45.5136729,-122.6618298,,246
273,45.5248982,-122.6933662,,311
274,45.55916922,-122.6514316,NE Alberta at 14th - Community Corral,1829
275,45.5200186,-122.6792742,,562
283,45.55902314,-122.6355462,NE Alberta at NE 29th/30th - Community Corral,1411
277,45.538053,-122.6667148,,157
387,45.5150733,-122.6546869,,368
279,45.5206819,-122.6817544,,537
287,45.5313325,-122.6925908,,1768
824,45.5165163,-122.659749,,340
582,45.5221678,-122.6844566,,974
340,45.5265656,-122.6802351,,851
284,45.5213515,-122.6785527,,764
390,45.524367,-122.6617459,,1002
285,45.5238878,-122.6509085,,94
286,45.5097828,-122.6780234,,485
380,45.5128022,-122.6751137,,3014
290,45.5092019,-122.6816237,,469
299,45.52651,-122.6832776,,764
310,45.525043,-122.6852545,,689
294,45.512934,-122.6547012,,299
415,45.524775,-122.6996899,,75
295,45.5071786,-122.6743175,,1157
296,45.5185327,-122.6765716,,1421
300,45.5300761,-122.6834133,,1346
298,45.5222612,-122.6733858,,1060
301,45.56138522,-122.6303306,NE 33rd at Emerson - Community Corral,639
379,45.5180852,-122.6931962,,323
302,45.5182595,-122.6755506,,1483
2045,45.5229001,-122.6495625,,95
304,45.5205321,-122.6754893,,1344
305,45.5000094,-122.6717313,,911
419,45.5301343,-122.6803455,,2990
334,45.5410345,-122.6687204,,924
306,45.503012,-122.6541096,,88
350,45.5130821,-122.6818658,,1849
307,45.5221695,-122.6901439,,1177
308,45.522018,-122.6781919,,1341
309,45.559071,-122.6428975,,156
311,45.4992903,-122.6717672,,766
318,45.5120829,-122.6403267,,264
314,45.5348837,-122.6947458,,356
315,45.5354601,-122.7008675,,579
319,45.5266354,-122.6765624,,1637
316,45.512695,-122.6832433,,1126
317,45.523173,-122.6933136,,439
360,45.5338063,-122.6203344,,558
320,45.514938,-122.6773563,,723
341,45.5397983,-122.6109434,,103
339,45.5228932,-122.6475335,,450
322,45.5215967,-122.6737711,,1117
323,45.5194778,-122.6772235,,1157
640,45.5327955,-122.6906153,,444
324,45.5293321,-122.6606811,,157
346,45.5150699,-122.6536726,,616
326,45.5225584,-122.673372,,652
979,45.512296,-122.6658565,,261
328,45.5161463,-122.6790375,,1508
777,45.516663,-122.6752883,,1849
329,45.51196,-122.6257533,SE 37th at Hawthorne - Disabled,1227
1139,45.5048186,-122.6425904,,176
868,45.5164994,-122.6546774,,764
331,45.5065432,-122.6620427,,780
374,45.522975,-122.6637546,,1326
692,45.5048222,-122.6435984,,392
332,45.5079732,-122.6774886,,78
333,45.5395941,-122.6677173,,438
335,45.5223193,-122.6900794,,418
430,45.5450023,-122.6719813,,218
336,45.5591147,-122.6555998,,88
337,45.5170806,-122.6797003,,899
338,45.5228648,-122.6392928,,272
373,45.5086555,-122.6547299,,1099
342,45.5167987,-122.6729466,,1034
476,45.5300183,-122.6864524,,471
345,45.5140232,-122.6853843,,1838
347,45.5165062,-122.6567061,,521
348,45.5292312,-122.6904828,,458
472,45.5122119,-122.6516591,,278
349,45.5299441,-122.6905093,,261
351,45.5263053,-122.6944335,,1210
352,45.5154699,-122.6736457,,1418
353,45.5164092,-122.6743398,,734
355,45.5334337,-122.6946989,,1136
354,45.5157425,-122.680425,,856
356,45.5122209,-122.654706,,180
357,45.5120597,-122.6258241,,1122
358,45.51748,-122.684565,SW 11th at Main - Disabled,670
361,45.56251948,-122.6770306,N Michigan at Killingsworth - Community Corral,1236
362,45.5177479,-122.6822147,,395
682,45.5266787,-122.6735353,,614
363,45.5042571,-122.673338,,55
832,45.5034617,-122.6614567,,39
364,45.522934,-122.684164,,884
369,45.5129374,-122.6557155,,289
365,45.5270181,-122.69446,,438
366,45.5048596,-122.6537342,,419
367,45.5259752,-122.6734997,,517
368,45.5180127,-122.6927539,,247
370,45.5047991,-122.6295795,,413
371,45.5122152,-122.6536891,,883
477,45.5122903,-122.6638325,,32
372,45.5129304,-122.6536889,,415
375,45.5342212,-122.6906683,,491
529,45.5188307,-122.686236,,149
383,45.5079558,-122.6587523,,451
377,45.5193268,-122.6738442,,684
378,45.5099128,-122.6757731,,1146
382,45.5246083,-122.6701985,,627
381,45.5098707,-122.6812436,,641
388,45.5228714,-122.6317108,,221
1469,45.4995378,-122.6456703,,43
385,45.5300108,-122.6868293,,36
386,45.5164373,-122.6361002,,131
389,45.530805,-122.6657957,,208
568,45.5121296,-122.6754687,,1592
391,45.5262305,-122.6984901,,295
413,45.5195924,-122.674829,,1028
1044,45.4981732,-122.6540485,,292
392,45.51715,-122.6455657,,87
393,45.5208017,-122.6617888,,785
509,45.5058031,-122.6547489,,351
394,45.5293695,-122.6823725,,1411
411,45.5228967,-122.6485481,,410
395,45.5186855,-122.6828343,,662
460,45.5174734,-122.6783165,,1799
871,45.5124107,-122.6765074,,728
422,45.5164476,-122.6244306,,118
398,45.5252624,-122.6734734,,733
399,45.5069185,-122.6733703,,1876
400,45.5314977,-122.6545881,,563
401,45.5545777,-122.6690146,,15
1212,45.5265956,-122.6785969,,642
402,45.5169626,-122.6401539,,17
448,45.5172227,-122.6577156,,423
403,45.5370703,-122.661648,,81
404,45.5265834,-122.679218,,835
405,45.5211986,-122.6751285,,800
406,45.4988983,-122.6542172,,109
407,45.5230215,-122.679085,,982
408,45.5341466,-122.6947255,,898
409,45.5178549,-122.6769385,,1613
2387,45.5080751,-122.6257364,,35
439,45.5252439,-122.6744876,,361
424,45.5228877,-122.6464195,,161
414,45.5282107,-122.673371,,1613
416,45.5158675,-122.6780176,,211
432,45.5300414,-122.6854175,,3569
417,45.5229782,-122.6818492,,472
428,45.5449084,-122.6775915,,1609
418,45.5301243,-122.6813778,,731
426,45.5307017,-122.6762415,,1319
420,45.5165337,-122.6776568,,381
458,45.5179256,-122.6546679,,360
479,45.508602,-122.6537136,,82
421,45.5165028,-122.6556917,,1428
423,45.5164579,-122.6425089,,216
634,45.51623176,-122.6360679,SE 29th at Belmont,3569
425,45.5140223,-122.6825276,,222
449,45.5122277,-122.6567345,,1046
494,45.514664,-122.6763653,,500
431,45.5207844,-122.6566213,,673
489,45.5238366,-122.6734209,,2560
435,45.5272599,-122.6812757,,812
441,45.5186536,-122.6586654,,345
433,45.5048055,-122.6346596,,330
434,45.5545774,-122.6680175,,80
440,45.515808,-122.6607669,,132
442,45.5350535,-122.6535419,,772
436,45.5142427,-122.6777338,,1041
437,45.5137485,-122.6815049,,525
2534,45.540774,-122.6082542,,40
438,45.5213484,-122.6813937,,1004
443,45.5200802,-122.6618002,,601
445,45.554626,-122.674989,,516
444,45.562681,-122.6780133,,13
1511,45.5332849,-122.7027742,,116
620,45.5150867,-122.6587051,,427
454,45.5047947,-122.6262496,,171
447,45.5249169,-122.6923521,,421
456,45.5193174,-122.6370939,,83
450,45.5350569,-122.6545566,,514
457,45.5299813,-122.6884808,,1155
451,45.5200657,-122.654653,,540
490,45.5148355,-122.6884049,,229
461,45.5248023,-122.6485379,,172
452,45.5286623,-122.6823504,,838
453,45.5626787,-122.6770005,,89
455,45.5279495,-122.6823139,,514
466,45.5229366,-122.6840002,,1562
459,45.5363304,-122.685748,,585
465,45.5120818,-122.6425326,,596
514,45.5507926,-122.6679872,,136
754,45.5343636,-122.660649,,627
583,45.5034095,-122.6729159,,611
469,45.534316,-122.6448424,,97
